Unnamed: 0,id,p_id,key,value
0,13247,1,ls,{}
1,13248,1,cvm,"{""cpu"": {""Flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl eagerfpu pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 arat avx512_vnni"", ""Model"": ""85"", ""flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl eagerfpu pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 arat avx512_vnni"", ""CPU(s)"": ""1"", ""CPU MHz"": ""2499.990"", ""L2 cache"": ""4096K"", ""L3 cache"": ""36608K"", ""Stepping"": ""5"", ""L1d cache"": ""32K"", ""L1i cache"": ""32K"", ""Socket(s)"": ""1"", ""Vendor ID"": ""name_1625"", ""Byte Order"": ""Little Endian"", ""CPU family"": ""6"", ""Model name"": ""name_9"", ""model name"": ""name_9"", ""Architecture"": ""x86_64"", ""NUMA node(s)"": ""1"", ""CPU op-mode(s)"": ""32-bit 64-bit"", ""Hypervisor vendor"": ""KVM"", ""NUMA node0 CPU(s)"": ""0"", ""Core(s) per socket"": ""1"", ""Thread(s) per core"": ""1"", ""On-line CPU(s) list"": ""0"", ""Virtualization type"": ""full""}, ""gpu"": {}, ""net"": {""rfs"": """", ""name_1628"": ""|all_same:True"", ""name_1629"": ""|all_same:True"", ""net_queues"": []}, ""nic"": {""rfs"": """", ""name_1628"": """", ""name_1629"": """", ""name_1630"": ""1.0.0"", ""bus-info"": "".0"", ""queue_num"": ""1.0"", ""supports-test"": ""no"", ""firmware-version"": """", ""name_1631"": ""Red Hat"", ""supports-priv-flags"": ""noLink detected yes"", ""supports-statistics"": ""no"", ""expansion-rom-version"": """", ""name_1632"": ""no"", ""supports-register-dump"": ""no"", ""Inc. Virtio network device\\ndriver"": ""virtio_net""}, ""bios"": {""Vendor"": ""SeaBIOS"", ""Address"": ""0xE8000"", ""Version"": ""seabios-1.9.1-qemu-project.org"", ""ROM Size"": ""64 kB"", ""Release Date"": ""04/01/2014"", ""Runtime Size"": ""96 kB"", ""BIOS Revision"": ""0.0"", ""Characteristics"": """", ""name_1633"": ""istribution""}, ""cuda"": {""name_1630"": ""default""}, ""disk"": {}, ""cuDNN"": {}, ""memory"": {""Use"": ""System Memory"", ""Location"": ""Other"", ""Maximum Capacity"": ""2 GB"", ""Number Of Devices"": ""1"", ""Error Correction Type"": ""Multi-bit ECC"", ""Error Information Handle"": ""Not Provided""}, ""vendor"": {""name"": ""default""}, ""tag_disk"": {""scheduler"": ""[mq-deadline] kyber none"", ""drive_type"": ""HDD"", ""size_in_gb"": 50, ""queue_depth"": """", ""name_1634"": ""1""}, ""os_kernel"": {""kernel"": ""3.10.0-1062.9.1.el7.x86_64"", ""os_name"": ""CentOS Linux release 7.6.1810 (Core)""}, ""sold_type"": null, ""vs_config"": {}, ""nic_switch"": {""rx-all"": ""off fixed]"", ""rx-fcs"": ""off fixed]"", ""highdma"": ""on fixed]"", ""fcoe-mtu"": ""off fixed]"", ""loopback"": ""off fixed]"", ""busy-poll"": ""off fixed]"", ""rx-gro-hw"": ""off fixed]"", ""netns-local"": ""off fixed]"", ""tx-lockless"": ""off fixed]"", ""hw-tc-offload"": ""off fixed]"", ""tx-gso-robust"": ""off fixed]"", ""l2-fwd-offload"": ""off fixed]"", ""ntuple-filters"": ""off fixed]"", ""rx-vlan-filter"": ""on fixed]"", ""scatter-gather"": ""off"", ""tx-gso-partial"": ""off fixed]"", ""receive-hashing"": ""off fixed]"", ""rx-checksumming"": ""on fixed]"", ""rx-vlan-offload"": ""off fixed]"", ""tx-checksumming"": ""off"", ""tx-nocache-copy"": ""off"", ""tx-vlan-offload"": ""off fixed]"", ""vlan-challenged"": ""off fixed]"", ""tx-checksum-ipv4"": ""off fixed]"", ""tx-checksum-ipv6"": ""off fixed]"", ""tx-checksum-sctp"": ""off fixed]"", ""Features for eth0"": """", ""name_1635"": ""off fixed]"", ""rx-vlan-stag-filter"": ""off fixed]"", ""tx-gre-segmentation"": ""off fixed]"", ""tx-sit-segmentation"": ""off fixed]"", ""tx-tcp-segmentation"": ""off fixed]"", ""tx-checksum-fcoe-crc"": ""off fixed]"", ""tx-fcoe-segmentation"": ""off fixed]"", ""tx-ipip-segmentation"": ""off fixed]"", ""tx-sctp-segmentation"": ""off fixed]"", ""tx-tcp6-segmentation"": ""off fixed]"", ""large-receive-offload"": ""off fixed]"", ""rx-vlan-stag-hw-parse"": ""off fixed]"", ""tx-checksum-ip-generic"": ""off fixed]"", ""tx-vlan-stag-hw-insert"": ""off fixed]"", ""generic-receive-offload"": ""on"", ""tx-tcp-ecn-segmentation"": ""off fixed]"", ""tx-udp_tnl-segmentation"": ""off fixed]"", ""tcp-segmentation-offload"": ""off"", ""tx-gre-csum-segmentation"": ""off fixed]"", ""udp-fragmentation-offload"": ""off fixed]"", ""rx-udp_tunnel-port-offload"": ""off fixed]"", ""tx-scatter-gather-fraglist"": ""off fixed]"", ""generic-segmentation-offload"": ""off requested on]"", ""tx-tcp-mangleid-segmentation"": ""off fixed]"", ""tx-udp_tnl-csum-segmentation"": ""off fixed]""}, ""runtime_env"": {""gcc"": ""gcc (GCC) 4.8.5 20150623 (Red Hat 4.8.5-39)"", ""libc"": ""ldd (GNU libc) 2.17""}, ""cpu_freq_info"": {""consistency"": ""y"", ""name_1626"": ""disable"", ""name_1627"": ""1"", ""available cpufreq governors"": ""Not Available""}, ""disk_hardware"": {""/dev/vda"": {""system_param"": {""scheduler"": ""[mq-deadline] kyber none"", ""queue_depth"": """", ""name_1634"": ""1""}, ""physical_info"": [{""drive_type"": ""HDD"", ""size_in_gb"": 50}], ""cache_and_raid"": {}}, ""tag_disk"": {""scheduler"": ""[mq-deadline] kyber none"", ""drive_type"": ""HDD"", ""size_in_gb"": 50, ""queue_depth"": """", ""name_1634"": ""1""}}}"
2,13249,1,cvm,"{""cpu"": {""Flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl eagerfpu pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 arat avx512_vnni"", ""Model"": ""85"", ""flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl eagerfpu pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 arat avx512_vnni"", ""CPU(s)"": ""1"", ""CPU MHz"": ""2499.990"", ""L2 cache"": ""4096K"", ""L3 cache"": ""36608K"", ""Stepping"": ""5"", ""L1d cache"": ""32K"", ""L1i cache"": ""32K"", ""Socket(s)"": ""1"", ""Vendor ID"": ""name_1625"", ""Byte Order"": ""Little Endian"", ""CPU family"": ""6"", ""Model name"": ""name_9"", ""model name"": ""name_9"", ""Architecture"": ""x86_64"", ""NUMA node(s)"": ""1"", ""CPU op-mode(s)"": ""32-bit 64-bit"", ""Hypervisor vendor"": ""KVM"", ""NUMA node0 CPU(s)"": ""0"", ""Core(s) per socket"": ""1"", ""Thread(s) per core"": ""1"", ""On-line CPU(s) list"": ""0"", ""Virtualization type"": ""full""}, ""gpu"": {}, ""net"": {""rfs"": """", ""name_1628"": ""|all_same:True"", ""name_1629"": ""|all_same:True"", ""net_queues"": []}, ""nic"": {""rfs"": """", ""name_1628"": """", ""name_1629"": """", ""name_1630"": ""1.0.0"", ""bus-info"": "".0"", ""queue_num"": ""1.0"", ""supports-test"": ""no"", ""firmware-version"": """", ""name_1631"": ""Red Hat"", ""supports-priv-flags"": ""noLink detected yes"", ""supports-statistics"": ""no"", ""expansion-rom-version"": """", ""name_1632"": ""no"", ""supports-register-dump"": ""no"", ""Inc. Virtio network device\\ndriver"": ""virtio_net""}, ""bios"": {""Vendor"": ""SeaBIOS"", ""Address"": ""0xE8000"", ""Version"": ""seabios-1.9.1-qemu-project.org"", ""ROM Size"": ""64 kB"", ""Release Date"": ""04/01/2014"", ""Runtime Size"": ""96 kB"", ""BIOS Revision"": ""0.0"", ""Characteristics"": """", ""name_1633"": ""istribution""}, ""cuda"": {""name_1630"": ""default""}, ""disk"": {}, ""cuDNN"": {}, ""memory"": {""Use"": ""System Memory"", ""Location"": ""Other"", ""Maximum Capacity"": ""2 GB"", ""Number Of Devices"": ""1"", ""Error Correction Type"": ""Multi-bit ECC"", ""Error Information Handle"": ""Not Provided""}, ""vendor"": {""name"": ""default""}, ""tag_disk"": {""scheduler"": ""[mq-deadline] kyber none"", ""drive_type"": ""HDD"", ""size_in_gb"": 50, ""queue_depth"": """", ""name_1634"": ""1""}, ""os_kernel"": {""kernel"": ""3.10.0-1062.9.1.el7.x86_64"", ""os_name"": ""CentOS Linux release 7.6.1810 (Core)""}, ""sold_type"": ""IT5"", ""vs_config"": {}, ""nic_switch"": {""rx-all"": ""off fixed]"", ""rx-fcs"": ""off fixed]"", ""highdma"": ""on fixed]"", ""fcoe-mtu"": ""off fixed]"", ""loopback"": ""off fixed]"", ""busy-poll"": ""off fixed]"", ""rx-gro-hw"": ""off fixed]"", ""netns-local"": ""off fixed]"", ""tx-lockless"": ""off fixed]"", ""hw-tc-offload"": ""off fixed]"", ""tx-gso-robust"": ""off fixed]"", ""l2-fwd-offload"": ""off fixed]"", ""ntuple-filters"": ""off fixed]"", ""rx-vlan-filter"": ""on fixed]"", ""scatter-gather"": ""off"", ""tx-gso-partial"": ""off fixed]"", ""receive-hashing"": ""off fixed]"", ""rx-checksumming"": ""on fixed]"", ""rx-vlan-offload"": ""off fixed]"", ""tx-checksumming"": ""off"", ""tx-nocache-copy"": ""off"", ""tx-vlan-offload"": ""off fixed]"", ""vlan-challenged"": ""off fixed]"", ""tx-checksum-ipv4"": ""off fixed]"", ""tx-checksum-ipv6"": ""off fixed]"", ""tx-checksum-sctp"": ""off fixed]"", ""Features for eth0"": """", ""name_1635"": ""off fixed]"", ""rx-vlan-stag-filter"": ""off fixed]"", ""tx-gre-segmentation"": ""off fixed]"", ""tx-sit-segmentation"": ""off fixed]"", ""tx-tcp-segmentation"": ""off fixed]"", ""tx-checksum-fcoe-crc"": ""off fixed]"", ""tx-fcoe-segmentation"": ""off fixed]"", ""tx-ipip-segmentation"": ""off fixed]"", ""tx-sctp-segmentation"": ""off fixed]"", ""tx-tcp6-segmentation"": ""off fixed]"", ""large-receive-offload"": ""off fixed]"", ""rx-vlan-stag-hw-parse"": ""off fixed]"", ""tx-checksum-ip-generic"": ""off fixed]"", ""tx-vlan-stag-hw-insert"": ""off fixed]"", ""generic-receive-offload"": ""on"", ""tx-tcp-ecn-segmentation"": ""off fixed]"", ""tx-udp_tnl-segmentation"": ""off fixed]"", ""tcp-segmentation-offload"": ""off"", ""tx-gre-csum-segmentation"": ""off fixed]"", ""udp-fragmentation-offload"": ""off fixed]"", ""rx-udp_tunnel-port-offload"": ""off fixed]"", ""tx-scatter-gather-fraglist"": ""off fixed]"", ""generic-segmentation-offload"": ""off requested on]"", ""tx-tcp-mangleid-segmentation"": ""off fixed]"", ""tx-udp_tnl-csum-segmentation"": ""off fixed]""}, ""runtime_env"": {""gcc"": ""gcc (GCC) 4.8.5 20150623 (Red Hat 4.8.5-39)"", ""libc"": ""ldd (GNU libc) 2.17""}, ""cpu_freq_info"": {""consistency"": ""y"", ""name_1626"": ""disable"", ""name_1627"": ""1"", ""available cpufreq governors"": ""Not Available""}, ""disk_hardware"": {""/dev/vda"": {""system_param"": {""scheduler"": ""[mq-deadline] kyber none"", ""queue_depth"": """", ""name_1634"": ""1""}, ""physical_info"": [{""drive_type"": ""HDD"", ""size_in_gb"": 50}], ""cache_and_raid"": {}}, ""tag_disk"": {""scheduler"": ""[mq-deadline] kyber none"", ""drive_type"": ""HDD"", ""size_in_gb"": 50, ""queue_depth"": """", ""name_1634"": ""1""}}}"
3,4,1,tool,"{""name"": ""ls"", ""version"": ""1.0""}"
4,5,1,tool_env,{}
5,6,1,component,"{""name"": ""cvm"", ""version"": 1.1}"
6,7,1,tool,"{""name"": ""vray"", ""version"": ""1.1.0""}"
7,8,1,tool_env,"{""name"": ""cvm"", ""configs"": ""{\""cpu\"": {\""flags\"": \""name_1636"", \""model name\"": \""name_1637"", \""Flags\"": \""name_1636"", \""NUMA node0 CPU(s)\"": \""0-3\"", \""L3 cache\"": \""16384K\"", \""L2 cache\"": \""4096K\"", \""L1i cache\"": \""32K\"", \""L1d cache\"": \""32K\"", \""Virtualization type\"": \""full\"", \""Hypervisor vendor\"": \""KVM\"", \""CPU MHz\"": \""2595.124\"", \""Stepping\"": \""0\"", \""Model name\"": \""name_1637"", \""Model\"": \""49\"", \""CPU family\"": \""23\"", \""Vendor ID\"": \""name_1638"", \""NUMA node(s)\"": \""1\"", \""Socket(s)\"": \""1\"", \""Core(s) per socket\"": \""4\"", \""Thread(s) per core\"": \""1\"", \""On-line CPU(s) list\"": \""0-3\"", \""CPU(s)\"": \""4\"", \""Byte Order\"": \""Little Endian\"", \""Architecture\"": \""x86_64\"", \""CPU op-mode(s)\"": \""32-bit 64-bit\""}, \""cpu_freq_info\"": {\""name_1639"": \""disable\"", \""name_1640"": \""1\"", \""consistency\"": \""y\"", \""available cpufreq governors\"": \""Not Available\""}, \""disk\"": {}, \""memory\"": {\""Number Of Devices\"": \""1\"", \""Error Information Handle\"": \""Not Provided\"", \""Maximum Capacity\"": \""4 GB\"", \""Error Correction Type\"": \""Multi-bit ECC\"", \""Use\"": \""System Memory\"", \""Location\"": \""Other\""}, \""nic\"": {\""supports-priv-flags\"": \""noLink detected  yes\"", \""supports-register-dump\"": \""no\"", \""supports-eeprom-access\"": \""no\"", \""supports-test\"": \""no\"", \""supports-statistics\"": \""no\"", \""bus-info\"": \"".0\"", \""expansion-rom-version\"": \""\"", \""firmware-version\"": \""\"", \""version\"": \""1.0.0\"", \""Ethernet controller\"": \""Red Hat\"", \""Inc. Virtio network device\\\\ndriver\"": \""virtio_net\"", \""queue_num\"": \""2.0\"", \""rps\"": \""f\"", \""rfs\"": \""8192\\\\n4096\"", \""xps\"": \""0\""}, \""nic_switch\"": {\""rx-udp_tunnel-port-offload\"": \""off fixed]\"", \""hw-tc-offload\"": \""off fixed]\"", \""l2-fwd-offload\"": \""off fixed]\"", \""rx-gro-hw\"": \""off fixed]\"", \""tx-sctp-segmentation\"": \""off fixed]\"", \""tx-gso-partial\"": \""off fixed]\"", \""tx-udp_tnl-csum-segmentation\"": \""off fixed]\"", \""tx-gre-csum-segmentation\"": \""off fixed]\"", \""busy-poll\"": \""off fixed]\"", \""rx-vlan-stag-filter\"": \""off fixed]\"", \""rx-vlan-stag-hw-parse\"": \""off fixed]\"", \""tx-vlan-stag-hw-insert\"": \""off fixed]\"", \""rx-all\"": \""off fixed]\"", \""rx-fcs\"": \""off fixed]\"", \""loopback\"": \""off fixed]\"", \""tx-nocache-copy\"": \""off\"", \""fcoe-mtu\"": \""off fixed]\"", \""tx-udp_tnl-segmentation\"": \""off fixed]\"", \""tx-sit-segmentation\"": \""off fixed]\"", \""tx-ipip-segmentation\"": \""off fixed]\"", \""tx-gre-segmentation\"": \""off fixed]\"", \""tx-fcoe-segmentation\"": \""off fixed]\"", \""tx-gso-robust\"": \""off fixed]\"", \""netns-local\"": \""off fixed]\"", \""tx-lockless\"": \""off fixed]\"", \""vlan-challenged\"": \""off fixed]\"", \""rx-vlan-filter\"": \""on fixed]\"", \""highdma\"": \""on fixed]\"", \""receive-hashing\"": \""off fixed]\"", \""ntuple-filters\"": \""off fixed]\"", \""tx-vlan-offload\"": \""off fixed]\"", \""rx-vlan-offload\"": \""off fixed]\"", \""large-receive-offload\"": \""off fixed]\"", \""generic-receive-offload\"": \""on\"", \""generic-segmentation-offload\"": \""off requested on]\"", \""udp-fragmentation-offload\"": \""off fixed]\"", \""tx-tcp-mangleid-segmentation\"": \""off fixed]\"", \""tx-tcp6-segmentation\"": \""off fixed]\"", \""tx-tcp-ecn-segmentation\"": \""off fixed]\"", \""tx-tcp-segmentation\"": \""off fixed]\"", \""tcp-segmentation-offload\"": \""off\"", \""tx-scatter-gather-fraglist\"": \""off fixed]\"", \""tx-scatter-gather\"": \""off fixed]\"", \""scatter-gather\"": \""off\"", \""tx-checksum-sctp\"": \""off fixed]\"", \""tx-checksum-fcoe-crc\"": \""off fixed]\"", \""tx-checksum-ipv6\"": \""off fixed]\"", \""tx-checksum-ip-generic\"": \""off fixed]\"", \""tx-checksum-ipv4\"": \""off fixed]\"", \""tx-checksumming\"": \""off\"", \""rx-checksumming\"": \""on fixed]\"", \""Features for eth0\"": \""\""}, \""os_kernel\"": {\""kernel\"": \""3.10.0-1062.9.1.el7.x86_64\"", \""os_name\"": \""CentOS Linux release 7.6.1810 (Core)\""}, \""runtime_env\"": {\""gcc\"": \""gcc (GCC) 4.8.5 20150623 (Red Hat 4.8.5-39)\"", \""libc\"": \""ldd (GNU libc) 2.17\""}, \""bios\"": {\""BIOS Revision\"": \""0.0\"", \""Targeted content d\"": \""istribution\"", \""Characteristics\"": \""\"", \""ROM Size\"": \""64 kB\"", \""Runtime Size\"": \""96 kB\"", \""Address\"": \""0xE8000\"", \""Release Date\"": \""04/01/2014\"", \""Version\"": \""seabios-1.9.1-qemu-project.org\"", \""Vendor\"": \""SeaBIOS\""}, \""gpu\"": {}, \""cuda\"": {\""version\"": \""default\""}, \""cuDNN\"": {}, \""vendor\"": {\""name\"": \""default\""}, \""net\"": {\""net_queues\"": [], \""rfs\"": \""\"", \""rps\"": \""|all_same:True\"", \""xps\"": \""|all_same:True\""}, \""disk_hardware\"": {\""/dev/vda\"": {\""system_param\"": {\""scheduler\"": \""[mq-deadline] kyber none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\""}, \""physical_info\"": [{\""drive_type\"": \""HDD\"", \""size_in_gb\"": 50}], \""cache_and_raid\"": {}}, \""tag_disk\"": {\""scheduler\"": \""[mq-deadline] kyber none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\"", \""drive_type\"": \""HDD\"", \""size_in_gb\"": 50}}, \""tag_disk\"": {\""scheduler\"": \""[mq-deadline] kyber none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\"", \""drive_type\"": \""HDD\"", \""size_in_gb\"": 50}, \""vs_config\"": {}, \""sold_type\"": null}"", ""version"": ""default"", ""gcc_flags"": ""default"", ""configs2md5"": ""b21f621f6f50cdb86e715286a3a1a4e5"", ""gcc_version"": ""default""}"
8,9,1,tool_env,"{""name"": ""cvm"", ""configs"": ""{\""cpu\"": {\""flags\"": \""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl eagerfpu pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 arat\"", \""model name\"": \""name_1641"", \""Flags\"": \""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl eagerfpu pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 arat\"", \""NUMA node0 CPU(s)\"": \""0-3\"", \""L3 cache\"": \""36608K\"", \""L2 cache\"": \""4096K\"", \""L1i cache\"": \""32K\"", \""L1d cache\"": \""32K\"", \""Virtualization type\"": \""full\"", \""Hypervisor vendor\"": \""KVM\"", \""CPU MHz\"": \""2499.998\"", \""Stepping\"": \""5\"", \""Model name\"": \""name_1641"", \""Model\"": \""85\"", \""CPU family\"": \""6\"", \""Vendor ID\"": \""name_1642"", \""NUMA node(s)\"": \""1\"", \""Socket(s)\"": \""1\"", \""Core(s) per socket\"": \""4\"", \""Thread(s) per core\"": \""1\"", \""On-line CPU(s) list\"": \""0-3\"", \""CPU(s)\"": \""4\"", \""Byte Order\"": \""Little Endian\"", \""Architecture\"": \""x86_64\"", \""CPU op-mode(s)\"": \""32-bit 64-bit\""}, \""cpu_freq_info\"": {\""consistency\"": \""y\"", \""available cpufreq governors\"": \""Not Available\""}, \""disk\"": {}, \""memory\"": {\""Number Of Devices\"": \""1\"", \""Error Information Handle\"": \""Not Provided\"", \""Maximum Capacity\"": \""8 GB\"", \""Error Correction Type\"": \""Multi-bit ECC\"", \""Use\"": \""System Memory\"", \""Location\"": \""Other\""}, \""nic\"": {\""supports-priv-flags\"": \""noLink detected  yes\"", \""supports-register-dump\"": \""no\"", \""supports-eeprom-access\"": \""no\"", \""supports-test\"": \""no\"", \""supports-statistics\"": \""no\"", \""bus-info\"": \"".0\"", \""expansion-rom-version\"": \""\"", \""firmware-version\"": \""\"", \""version\"": \""1.0.0\"", \""Ethernet controller\"": \""Red Hat\"", \""Inc Virtio network device\\\\ndriver\"": \""virtio_net\"", \""queue_num\"": \""4.0\"", \""rps\"": \""0\"", \""rfs\"": \""0\\\\n0\"", \""xps\"": \""0\""}, \""nic_switch\"": {\""hw-tc-offload\"": \""off fixed]\"", \""l2-fwd-offload\"": \""off fixed]\"", \""tx-sctp-segmentation\"": \""off fixed]\"", \""tx-gso-partial\"": \""off fixed]\"", \""tx-udp_tnl-csum-segmentation\"": \""off fixed]\"", \""tx-gre-csum-segmentation\"": \""off fixed]\"", \""busy-poll\"": \""off fixed]\"", \""rx-vlan-stag-filter\"": \""off fixed]\"", \""rx-vlan-stag-hw-parse\"": \""off fixed]\"", \""tx-vlan-stag-hw-insert\"": \""off fixed]\"", \""rx-all\"": \""off fixed]\"", \""rx-fcs\"": \""off fixed]\"", \""loopback\"": \""off fixed]\"", \""tx-nocache-copy\"": \""off\"", \""fcoe-mtu\"": \""off fixed]\"", \""tx-mpls-segmentation\"": \""off fixed]\"", \""tx-udp_tnl-segmentation\"": \""off fixed]\"", \""tx-sit-segmentation\"": \""off fixed]\"", \""tx-ipip-segmentation\"": \""off fixed]\"", \""tx-gre-segmentation\"": \""off fixed]\"", \""tx-fcoe-segmentation\"": \""off fixed]\"", \""tx-gso-robust\"": \""off fixed]\"", \""netns-local\"": \""off fixed]\"", \""tx-lockless\"": \""off fixed]\"", \""vlan-challenged\"": \""off fixed]\"", \""rx-vlan-filter\"": \""on fixed]\"", \""highdma\"": \""on fixed]\"", \""receive-hashing\"": \""off fixed]\"", \""ntuple-filters\"": \""off fixed]\"", \""tx-vlan-offload\"": \""off fixed]\"", \""rx-vlan-offload\"": \""off fixed]\"", \""large-receive-offload\"": \""off fixed]\"", \""generic-receive-offload\"": \""on\"", \""generic-segmentation-offload\"": \""on\"", \""udp-fragmentation-offload\"": \""on\"", \""tx-tcp-mangleid-segmentation\"": \""off\"", \""tx-tcp6-segmentation\"": \""on\"", \""tx-tcp-ecn-segmentation\"": \""on\"", \""tx-tcp-segmentation\"": \""on\"", \""tcp-segmentation-offload\"": \""on\"", \""tx-scatter-gather-fraglist\"": \""off fixed]\"", \""tx-scatter-gather\"": \""on\"", \""scatter-gather\"": \""on\"", \""tx-checksum-sctp\"": \""off fixed]\"", \""tx-checksum-fcoe-crc\"": \""off fixed]\"", \""tx-checksum-ipv6\"": \""off fixed]\"", \""tx-checksum-ip-generic\"": \""on\"", \""tx-checksum-ipv4\"": \""off fixed]\"", \""tx-checksumming\"": \""on\"", \""rx-checksumming\"": \""on fixed]\"", \""Features for eth0\"": \""\""}, \""os_kernel\"": {\""kernel\"": \""3.10.0-693.el7.x86_64\"", \""os_name\"": \""CentOS Linux release 7.4.1708 (Core)\""}, \""runtime_env\"": {\""gcc\"": \""gcc (GCC) 4.8.5 20150623 (Red Hat 4.8.5-39)\"", \""libc\"": \""ldd (GNU libc) 2.17\""}, \""bios\"": {\""BIOS Revision\"": \""0.0\"", \""Targeted content d\"": \""istribution\"", \""Characteristics\"": \""\"", \""ROM Size\"": \""64 kB\"", \""Runtime Size\"": \""96 kB\"", \""Address\"": \""0xE8000\"", \""Release Date\"": \""04/01/2014\"", \""Version\"": \""seabios-1.9.1-qemu-project.org\"", \""Vendor\"": \""SeaBIOS\""}, \""gpu\"": {}, \""cuda\"": {\""version\"": \""default\""}, \""cuDNN\"": {}, \""vendor\"": {\""name\"": \""default\""}, \""net\"": {\""net_queues\"": [], \""rfs\"": \""\"", \""rps\"": \""|all_same:True\"", \""xps\"": \""|all_same:True\""}, \""disk_hardware\"": {\""/dev/vda\"": {\""system_param\"": {\""scheduler\"": \""none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\""}, \""physical_info\"": [{\""drive_type\"": \""HDD\"", \""size_in_gb\"": 98}], \""cache_and_raid\"": {}}, \""/dev/vdb\"": {\""system_param\"": {\""scheduler\"": \""none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\""}, \""physical_info\"": [{\""drive_type\"": \""HDD\"", \""size_in_gb\"": 100}], \""cache_and_raid\"": {}}, \""tag_disk\"": {\""scheduler\"": \""none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\"", \""drive_type\"": \""HDD\"", \""size_in_gb\"": 100}}, \""tag_disk\"": {\""scheduler\"": \""none\"", \""rq_affinity\"": \""1\"", \""queue_depth\"": \""\"", \""drive_type\"": \""HDD\"", \""size_in_gb\"": 100}, \""vs_config\"": {}, \""sold_type\"": null}"", ""version"": ""default"", ""gcc_flags"": ""default"", ""configs2md5"": ""92b9c5e2c2d6ac63f2025ea395cb9255"", ""gcc_version"": ""default""}"
9,17,99,tool,"{""name"": ""ls"", ""version"": ""1.0""}"
